Weight	Self Weight	Symbol Names
8.89 s   7.5%	0 s	  completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
8.45 s   0.0%	0 s	   partial apply for closure #1 in closure #1 in closure #1 in WorkerPool.work()
5.52 s   0.0%	0 s	    closure #1 in closure #1 in closure #1 in WorkerPool.work()
5.52 s   0.0%	0 s	     partial apply for closure #1 in FuzzStateMachine.setupWorkerPool()
1.63 s   0.0%	0 s	      closure #1 in FuzzStateMachine.setupWorkerPool()
1.63 s   0.0%	0 s	       partial apply for closure #1 in static FuzzStateMachine.captureIssues(sourceLocation:test:)
1.58 s   0.0%	0 s	        closure #1 in static FuzzStateMachine.captureIssues(sourceLocation:test:)
1.55 s   0.0%	0 s	         withKnownIssue(_:isIntermittent:isolation:sourceLocation:_:when:matching:)
1.55 s   0.0%	0 s	          TaskLocal.withValue<A>(_:operation:isolation:file:line:)
1.54 s   0.0%	0 s	           TaskLocal.withValueImpl<A>(_:operation:isolation:file:line:)
1.54 s   0.0%	0 s	            swift::TaskLocal::Storage::pushValue(swift::AsyncTask*, swift::HeapObject const*, swift::OpaqueValue*, swift::TargetMetadata<swift::InProcess> const*)
1.54 s   0.0%	0 s	             swift_task_hasTaskGroupStatusRecord
1.54 s   0.0%	0 s	              withStatusRecordLock(swift::AsyncTask*, swift::ActiveTaskStatus, __swift::__runtime::llvm::function_ref<void (swift::ActiveTaskStatus)>, __swift::__runtime::llvm::function_ref<void (swift::ActiveTaskStatus, swift::ActiveTaskStatus&)>)
1.53 s   0.0%	0 s	               swift::concurrency::trace::task_status_changed(swift::AsyncTask*, unsigned char, bool, bool, bool, bool, bool)
1.52 s   0.0%	0 s	                _os_signpost_emit_with_name_impl
1.52 s   0.0%	0 s	                 __os_signpost_emit_impl
1.52 s   0.0%	0 s	                  _os_log_impl_flatten_and_send
1.40 s   0.0%	0 s	                   os_log_backtrace_create_from_return_address
1.39 s   0.0%	0 s	                    os_log_backtrace_create_from_pcs
1.37 s   0.0%	0 s	                     backtrace_image_offsets
1.36 s   0.0%	0 s	                      dyld4::APIs::_dyld_images_for_addresses(unsigned int, void const**, dyld_image_uuid_offset*)
1.30 s   0.0%	0 s	                       dyld4::APIs::findImageMappedAt(void const*, dyld3::MachOLoaded const**, bool*, char const**, void const**, unsigned long long*, unsigned char*, dyld4::Loader const**)
932.31 ms   0.0%	0 s	                        DyldSharedCache::forEachImageTextSegment(void (unsigned long long, unsigned long long, unsigned char const*, char const*, bool&) block_pointer) const
932.31 ms   0.0%	0 s	                         completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
932.31 ms   0.0%	932.27 ms	                          DyldSharedCache::forEachImageTextSegment(void (unsigned long long, unsigned long long, unsigned char const*, char const*, bool&) block_pointer) const
40.42 µs   0.0%	0 s	                           0xfffffe000885befc (kernel.release.t6031 +0x184ff07) <4884B2A4-D648-3989-A74C-9F242960BE5B>
40.42 µs   0.0%	0 s	                            0xfffffe000889fc60 (kernel.release.t6031 +0x1893d7f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
40.42 µs   0.0%	0 s	                             0xfffffe00088e3228 (kernel.release.t6031 +0x18d7319) <4884B2A4-D648-3989-A74C-9F242960BE5B>
40.42 µs   0.0%	40.42 µs	                              0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8829) <4884B2A4-D648-3989-A74C-9F242960BE5B>
336.16 ms   0.0%	0 s	                        invocation function for block in dyld4::APIs::findImageMappedAt(void const*, dyld3::MachOLoaded const**, bool*, char const**, void const**, unsigned long long*, unsigned char*, dyld4::Loader const**)
336.16 ms   0.0%	0 s	                         completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
336.16 ms   0.0%	336.15 ms	                          invocation function for block in dyld4::APIs::findImageMappedAt(void const*, dyld3::MachOLoaded const**, bool*, char const**, void const**, unsigned long long*, unsigned char*, dyld4::Loader const**)
11.29 µs   0.0%	0 s	                           0xfffffe000885befc (kernel.release.t6031 +0x184ff07) <4884B2A4-D648-3989-A74C-9F242960BE5B>
11.29 µs   0.0%	0 s	                            0xfffffe000889fc60 (kernel.release.t6031 +0x1893d7f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
11.29 µs   0.0%	0 s	                             0xfffffe00088e3228 (kernel.release.t6031 +0x18d7319) <4884B2A4-D648-3989-A74C-9F242960BE5B>
11.29 µs   0.0%	11.29 µs	                              0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8829) <4884B2A4-D648-3989-A74C-9F242960BE5B>
18.20 ms   0.0%	0 s	                        DyldSharedCache::forEachRange(void (char const*, unsigned long long, unsigned long long, unsigned int, unsigned long long, unsigned int, unsigned int, bool&) block_pointer, void (DyldSharedCache const*, unsigned int) block_pointer) const
18.15 ms   0.0%	0 s	                         DyldSharedCache::forEachCache(void (DyldSharedCache const*, bool&) block_pointer) const
18.05 ms   0.0%	0 s	                          invocation function for block in DyldSharedCache::forEachRange(void (char const*, unsigned long long, unsigned long long, unsigned int, unsigned long long, unsigned int, unsigned int, bool&) block_pointer, void (DyldSharedCache const*, unsigned int) block_pointer) const
17.56 ms   0.0%	0 s	                           DyldSharedCache::forEachRegion(void (void const*, unsigned long long, unsigned long long, unsigned int, unsigned int, unsigned long long, unsigned long long, bool&) block_pointer) const
10.36 ms   0.0%	10.36 ms	                            DyldSharedCache::forEachRegion(void (void const*, unsigned long long, unsigned long long, unsigned int, unsigned int, unsigned long long, unsigned long long, bool&) block_pointer) const
5.39 ms   0.0%	0 s	                            invocation function for block in dyld4::APIs::findImageMappedAt(void const*, dyld3::MachOLoaded const**, bool*, char const**, void const**, unsigned long long*, unsigned char*, dyld4::Loader const**)
5.39 ms   0.0%	0 s	                             completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.39 ms   0.0%	5.39 ms	                              invocation function for block in dyld4::APIs::findImageMappedAt(void const*, dyld3::MachOLoaded const**, bool*, char const**, void const**, unsigned long long*, unsigned char*, dyld4::Loader const**)
1.74 ms   0.0%	0 s	                            DyldSharedCache::mappingName(unsigned int, unsigned long long)
1.74 ms   0.0%	0 s	                             completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
1.74 ms   0.0%	1.74 ms	                              DyldSharedCache::mappingName(unsigned int, unsigned long long)
75.79 µs   0.0%	0 s	                            invocation function for block in DyldSharedCache::forEachRange(void (char const*, unsigned long long, unsigned long long, unsigned int, unsigned long long, unsigned int, unsigned int, bool&) block_pointer, void (DyldSharedCache const*, unsigned int) block_pointer) const
75.79 µs   0.0%	75.79 µs	                             invocation function for block in DyldSharedCache::forEachRange(void (char const*, unsigned long long, unsigned long long, unsigned int, unsigned long long, unsigned int, unsigned int, bool&) block_pointer, void (DyldSharedCache const*, unsigned int) block_pointer) const
422.13 µs   0.0%	0 s	                           invocation function for block in DyldSharedCache::forEachRange(void (char const*, unsigned long long, unsigned long long, unsigned int, unsigned long long, unsigned int, unsigned int, bool&) block_pointer, void (DyldSharedCache const*, unsigned int) block_pointer) const
273.38 µs   0.0%	273.38 µs	                            invocation function for block in DyldSharedCache::forEachRange(void (char const*, unsigned long long, unsigned long long, unsigned int, unsigned long long, unsigned int, unsigned int, bool&) block_pointer, void (DyldSharedCache const*, unsigned int) block_pointer) const
148.75 µs   0.0%	0 s	                            completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
