Weight	Self Weight	Symbol Names
13.55 s  16.2%	0 s	  completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
13.35 s   0.0%	0 s	   partial apply for closure #1 in closure #1 in closure #1 in WorkerPool.work()
6.98 s   0.0%	0 s	    closure #1 in closure #1 in closure #1 in WorkerPool.work()
6.94 s   0.0%	0 s	     partial apply for closure #1 in FuzzStateMachine.setupWorkerPool()
2.43 s   0.0%	0 s	      closure #1 in FuzzStateMachine.setupWorkerPool()
1.83 s   0.0%	0 s	       FuzzStateMachine.submitPluginEvent(_:)
815.48 ms   0.0%	0 s	        PluginDispatcher.dispatch<each A>(event:)
530.43 ms   0.0%	0 s	         Array.append<A>(contentsOf:)
220.22 ms   0.0%	0 s	          __swift_instantiateCanonicalPrespecializedGenericMetadata
205.21 ms   0.0%	0 s	           _swift_getGenericMetadata(swift::MetadataRequest, void const* const*, swift::TargetTypeContextDescriptor<swift::InProcess> const*)
105.17 ms   0.0%	0 s	            std::__1::pair<swift::GenericCacheEntry*, swift::MetadataResponse> swift::LockingConcurrentMap<swift::GenericCacheEntry, swift::LockingConcurrentMapStorage<swift::GenericCacheEntry, (unsigned short)14>>::getOrInsert<swift::MetadataCacheKey, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&>(swift::MetadataCacheKey, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&)
60.08 ms   0.0%	0 s	             swift::MetadataCacheKey::operator==(swift::MetadataCacheKey const&) const
60.08 ms   0.0%	0 s	              completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
60.08 ms   0.0%	60.08 ms	               swift::MetadataCacheKey::operator==(swift::MetadataCacheKey const&) const
25.08 ms   0.0%	0 s	             std::__1::pair<swift::GenericCacheEntry*, bool> swift::StableAddressConcurrentReadableHashMap<swift::GenericCacheEntry, swift::TaggedMetadataAllocator<(unsigned short)14>, swift::Mutex>::getOrInsert<swift::MetadataCacheKey, swift::MetadataWaitQueue::Worker&, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&>(swift::MetadataCacheKey, swift::MetadataWaitQueue::Worker&, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&)
20.00 ms   0.0%	0 s	              swift::MetadataCacheKey::operator==(swift::MetadataCacheKey const&) const
20.00 ms   0.0%	0 s	               completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
20.00 ms   0.0%	20.00 ms	                swift::MetadataCacheKey::operator==(swift::MetadataCacheKey const&) const
5.00 ms   0.0%	0 s	              _platform_memcmp
5.00 ms   0.0%	0 s	               completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                _platform_memcmp
77.58 µs   0.0%	0 s	              std::__1::pair<swift::HashMapElementWrapper<swift::GenericCacheEntry>*, unsigned int> swift::ConcurrentReadableHashMap<swift::HashMapElementWrapper<swift::GenericCacheEntry>, swift::Mutex>::find<swift::MetadataCacheKey>(swift::MetadataCacheKey const&, swift::ConcurrentReadableHashMap<swift::HashMapElementWrapper<swift::GenericCacheEntry>, swift::Mutex>::IndexStorage, unsigned long, swift::HashMapElementWrapper<swift::GenericCacheEntry>*)
