Weight	Self Weight	Symbol Names
11.03 s  12.4%	0 s	  completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.93 s   0.0%	0 s	   partial apply for closure #1 in closure #1 in closure #1 in WorkerPool.work()
6.64 s   0.0%	0 s	    closure #1 in closure #1 in closure #1 in WorkerPool.work()
6.58 s   0.0%	0 s	     TestInputQueue.pull()
6.37 s   0.0%	0 s	      closure #3 in FuzzEngine.init<A>(mutators:config:corpusDirectory:)
6.34 s   0.0%	0 s	       static FuzzEngine.generateWithMutators<A>(mutators:)
6.26 s   0.0%	0 s	        AnyMutator.generate()
6.24 s   0.0%	0 s	         RandomNumberGeneratorClient.callAsFunction<A>(_:)
6.23 s   0.0%	0 s	          LockIsolated.withValue<A>(_:)
6.20 s   0.0%	0 s	           NSRecursiveLock.sync<A>(work:)
6.15 s   0.0%	0 s	            partial apply for closure #1 in LockIsolated.withValue<A>(_:)
6.14 s   0.0%	0 s	             closure #1 in LockIsolated.withValue<A>(_:)
6.06 s   0.0%	0 s	              partial apply for closure #1 in RandomNumberGeneratorClient.callAsFunction<A>(_:)
6.05 s   0.0%	0 s	               closure #1 in RandomNumberGeneratorClient.callAsFunction<A>(_:)
5.80 s   0.0%	0 s	                closure #1 in closure #2 in closure #1 in variable initialization expression of static String.defaultMutator
4.67 s   0.0%	0 s	                 specialized Collection.map<A, B>(_:)
3.47 s   0.0%	0 s	                  closure #7 in closure #1 in closure #2 in closure #1 in variable initialization expression of static String.defaultMutator
3.16 s   0.0%	0 s	                   Collection.randomElement<A>(using:)
1.21 s   0.0%	0 s	                    specialized RandomNumberGenerator.next<A>(upperBound:)
1.13 s   0.0%	0 s	                     protocol witness for RandomNumberGenerator.next() in conformance SystemRandomNumberGenerator
1.07 s   0.0%	0 s	                      generate
905.14 ms   0.0%	0 s	                       ccrng_crypto_generate
605.08 ms   0.0%	0 s	                        ccrng_schedule_read
575.08 ms   0.0%	0 s	                         ccrng_schedule_tree_read
515.08 ms   0.0%	0 s	                          ccrng_schedule_timer_read
500.08 ms   0.0%	0 s	                           clock_gettime_nsec_np
410.07 ms   0.0%	0 s	                            _mach_boottime_usec
340.07 ms   0.0%	0 s	                             gettimeofday
340.07 ms   0.0%	0 s	                              mach_absolute_time
340.07 ms   0.0%	0 s	                               completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
340.07 ms   0.0%	340.00 ms	                                mach_absolute_time
73.83 µs   0.0%	0 s	                                 0xfffffe000885befc (kernel.release.t6031 +0x184ff07) <4884B2A4-D648-3989-A74C-9F242960BE5B>
73.83 µs   0.0%	0 s	                                  0xfffffe000889fc60 (kernel.release.t6031 +0x1893d7f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
73.83 µs   0.0%	0 s	                                   0xfffffe00088e3228 (kernel.release.t6031 +0x18d7319) <4884B2A4-D648-3989-A74C-9F242960BE5B>
73.83 µs   0.0%	73.83 µs	                                    0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8931) <4884B2A4-D648-3989-A74C-9F242960BE5B>
30.00 ms   0.0%	0 s	                             DYLD-STUB$$__commpage_gettimeofday
30.00 ms   0.0%	0 s	                              completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
30.00 ms   0.0%	30.00 ms	                               DYLD-STUB$$__commpage_gettimeofday
30.00 ms   0.0%	30.00 ms	                             _mach_boottime_usec
10.00 ms   0.0%	0 s	                             __commpage_gettimeofday_internal
10.00 ms   0.0%	0 s	                              completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.00 ms   0.0%	10.00 ms	                               __commpage_gettimeofday_internal
60.00 ms   0.0%	0 s	                            DYLD-STUB$$mach_boottime_usec
60.00 ms   0.0%	0 s	                             completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
60.00 ms   0.0%	60.00 ms	                              DYLD-STUB$$mach_boottime_usec
15.01 ms   0.0%	0 s	                            mach_boottime_usec
15.01 ms   0.0%	0 s	                             completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
15.01 ms   0.0%	15.00 ms	                              mach_boottime_usec
5.21 µs   0.0%	0 s	                               0xfffffe000885befc (kernel.release.t6031 +0x184ff07) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.21 µs   0.0%	0 s	                                0xfffffe000889fc60 (kernel.release.t6031 +0x1893d7f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.21 µs   0.0%	0 s	                                 0xfffffe00088e3228 (kernel.release.t6031 +0x18d7319) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.21 µs   0.0%	5.21 µs	                                  0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8931) <4884B2A4-D648-3989-A74C-9F242960BE5B>
10.00 ms   0.0%	0 s	                            gettimeofday
10.00 ms   0.0%	0 s	                             completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.00 ms   0.0%	10.00 ms	                              gettimeofday
5.00 ms   0.0%	5.00 ms	                            clock_gettime_nsec_np
10.00 ms   0.0%	10.00 ms	                           ccrng_schedule_timer_read
5.00 ms   0.0%	0 s	                           _mach_boottime_usec
5.00 ms   0.0%	5.00 ms	                            _mach_boottime_usec
25.00 ms   0.0%	0 s	                          clock_gettime_nsec_np
25.00 ms   0.0%	0 s	                           completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
25.00 ms   0.0%	25.00 ms	                            clock_gettime_nsec_np
25.00 ms   0.0%	25.00 ms	                          ccrng_schedule_tree_read
10.00 ms   0.0%	0 s	                          DYLD-STUB$$clock_gettime_nsec_np
10.00 ms   0.0%	0 s	                           completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.00 ms   0.0%	10.00 ms	                            DYLD-STUB$$clock_gettime_nsec_np
20.00 ms   0.0%	20.00 ms	                         ccrng_schedule_read
10.00 ms   0.0%	0 s	                         ccrng_schedule_atomic_flag_read
10.00 ms   0.0%	0 s	                          completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.00 ms   0.0%	10.00 ms	                           ccrng_schedule_atomic_flag_read
135.06 ms   0.0%	0 s	                        ccdrbg_generate
120.06 ms   0.0%	0 s	                         generate
35.00 ms   0.0%	0 s	                          update_with_ctr
25.00 ms   0.0%	0 s	                           ccaes_vng_ctr_crypt
25.00 ms   0.0%	25.00 ms	                            ccaes_vng_ctr_crypt
10.00 ms   0.0%	0 s	                           AccelerateCrypto_ecb_AES_encrypt
10.00 ms   0.0%	0 s	                            completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.00 ms   0.0%	10.00 ms	                             AccelerateCrypto_ecb_AES_encrypt
20.01 ms   0.0%	0 s	                          ccaes_vng_ctr_crypt
20.01 ms   0.0%	20.01 ms	                           ccaes_vng_ctr_crypt
20.00 ms   0.0%	0 s	                          Decrypt_Main_Loop_End
20.00 ms   0.0%	0 s	                           completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
20.00 ms   0.0%	20.00 ms	                            Decrypt_Main_Loop_End
15.00 ms   0.0%	0 s	                          Decrypt_Main_Loop
15.00 ms   0.0%	0 s	                           completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
15.00 ms   0.0%	15.00 ms	                            Decrypt_Main_Loop
10.00 ms   0.0%	0 s	                          ccaes_arm_encrypt_key256
10.00 ms   0.0%	0 s	                           completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.00 ms   0.0%	10.00 ms	                            ccaes_arm_encrypt_key256
5.00 ms   0.0%	0 s	                          _platform_memset
5.00 ms   0.0%	0 s	                           completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                            _platform_memset
5.00 ms   0.0%	5.00 ms	                          generate
5.00 ms   0.0%	0 s	                          DYLD-STUB$$mkostemps
5.00 ms   0.0%	0 s	                           completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                            DYLD-STUB$$mkostemps
5.00 ms   0.0%	0 s	                          ccctr_update_internal
5.00 ms   0.0%	0 s	                           completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                            ccctr_update_internal
56.59 µs   0.0%	0 s	                          AccelerateCrypto_ecb_AES_encrypt
56.59 µs   0.0%	0 s	                           completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
56.59 µs   0.0%	56.59 µs	                            AccelerateCrypto_ecb_AES_encrypt
10.00 ms   0.0%	0 s	                         ccaes_vng_ctr_crypt
10.00 ms   0.0%	10.00 ms	                          ccaes_vng_ctr_crypt
5.00 ms   0.0%	0 s	                         memset_s
5.00 ms   0.0%	5.00 ms	                          memset_s
55.00 ms   0.0%	55.00 ms	                        ccrng_crypto_generate
50.00 ms   0.0%	0 s	                        _platform_memset
50.00 ms   0.0%	0 s	                         completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
50.00 ms   0.0%	50.00 ms	                          _platform_memset
15.00 ms   0.0%	0 s	                        memset_s
15.00 ms   0.0%	15.00 ms	                         memset_s
15.00 ms   0.0%	0 s	                        DYLD-STUB$$mkostemps
15.00 ms   0.0%	0 s	                         completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
15.00 ms   0.0%	15.00 ms	                          DYLD-STUB$$mkostemps
15.00 ms   0.0%	0 s	                        timingsafe_enable_if_supported
15.00 ms   0.0%	0 s	                         completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
15.00 ms   0.0%	15.00 ms	                          timingsafe_enable_if_supported
10.00 ms   0.0%	0 s	                        timingsafe_restore_if_supported
10.00 ms   0.0%	0 s	                         completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.00 ms   0.0%	10.00 ms	                          timingsafe_restore_if_supported
5.00 ms   0.0%	0 s	                        generate
5.00 ms   0.0%	5.00 ms	                         generate
50.00 ms   0.0%	0 s	                       os_unfair_lock_unlock
50.00 ms   0.0%	0 s	                        completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
50.00 ms   0.0%	50.00 ms	                         os_unfair_lock_unlock
25.00 ms   0.0%	25.00 ms	                       generate
20.08 ms   0.0%	0 s	                       memset_s
10.08 ms   0.0%	10.00 ms	                        memset_s
78.54 µs   0.0%	0 s	                         0xfffffe000885befc (kernel.release.t6031 +0x184ff07) <4884B2A4-D648-3989-A74C-9F242960BE5B>
78.54 µs   0.0%	0 s	                          0xfffffe000889fc60 (kernel.release.t6031 +0x1893d7f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
78.54 µs   0.0%	0 s	                           0xfffffe00088e3228 (kernel.release.t6031 +0x18d7319) <4884B2A4-D648-3989-A74C-9F242960BE5B>
78.54 µs   0.0%	78.54 µs	                            0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8931) <4884B2A4-D648-3989-A74C-9F242960BE5B>
10.00 ms   0.0%	0 s	                        completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.00 ms   0.0%	10.00 ms	                         memset_s
15.00 ms   0.0%	0 s	                       _platform_memmove
15.00 ms   0.0%	0 s	                        completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
15.00 ms   0.0%	15.00 ms	                         _platform_memmove
15.00 ms   0.0%	0 s	                       os_unfair_lock_assert_owner
15.00 ms   0.0%	0 s	                        completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
15.00 ms   0.0%	15.00 ms	                         os_unfair_lock_assert_owner
15.00 ms   0.0%	0 s	                       os_unfair_lock_lock
15.00 ms   0.0%	0 s	                        completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
15.00 ms   0.0%	15.00 ms	                         os_unfair_lock_lock
10.00 ms   0.0%	0 s	                       DYLD-STUB$$memset_s
10.00 ms   0.0%	0 s	                        completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.00 ms   0.0%	10.00 ms	                         DYLD-STUB$$memset_s
5.00 ms   0.0%	0 s	                       DYLD-STUB$$os_unfair_lock_unlock
5.00 ms   0.0%	0 s	                        completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                         DYLD-STUB$$os_unfair_lock_unlock
5.00 ms   0.0%	0 s	                       ccdrbg_generate
5.00 ms   0.0%	0 s	                        completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                         ccdrbg_generate
30.00 ms   0.0%	0 s	                      ccrng_crypto_generate
30.00 ms   0.0%	30.00 ms	                       ccrng_crypto_generate
15.00 ms   0.0%	15.00 ms	                      protocol witness for RandomNumberGenerator.next() in conformance SystemRandomNumberGenerator
10.00 ms   0.0%	0 s	                      arc4random_buf
10.00 ms   0.0%	0 s	                       arc4_init
10.00 ms   0.0%	10.00 ms	                        arc4_init
10.00 ms   0.0%	0 s	                      arc4_init
10.00 ms   0.0%	10.00 ms	                       arc4_init
35.02 ms   0.0%	0 s	                     arc4random_buf
35.02 ms   0.0%	35.00 ms	                      arc4random_buf
19.08 µs   0.0%	0 s	                       0xfffffe000885befc (kernel.release.t6031 +0x184ff07) <4884B2A4-D648-3989-A74C-9F242960BE5B>
19.08 µs   0.0%	0 s	                        0xfffffe000889fc60 (kernel.release.t6031 +0x1893d7f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
19.08 µs   0.0%	0 s	                         0xfffffe00088e3228 (kernel.release.t6031 +0x18d7319) <4884B2A4-D648-3989-A74C-9F242960BE5B>
19.08 µs   0.0%	19.08 µs	                          0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8931) <4884B2A4-D648-3989-A74C-9F242960BE5B>
35.00 ms   0.0%	35.00 ms	                     specialized RandomNumberGenerator.next<A>(upperBound:)
10.00 ms   0.0%	0 s	                     DYLD-STUB$$arc4random_buf
10.00 ms   0.0%	0 s	                      completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.00 ms   0.0%	10.00 ms	                       DYLD-STUB$$arc4random_buf
550.16 ms   0.0%	0 s	                    protocol witness for Collection.subscript.read in conformance [A]
230.00 ms   0.0%	0 s	                     Array.subscript.read
105.00 ms   0.0%	0 s	                      _malloc_zone_malloc_instrumented_or_legacy
55.00 ms   0.0%	55.00 ms	                       _malloc_zone_malloc_instrumented_or_legacy
30.00 ms   0.0%	0 s	                       malloc
30.00 ms   0.0%	30.00 ms	                        malloc
10.00 ms   0.0%	0 s	                       pthread_getspecific
10.00 ms   0.0%	0 s	                        completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.00 ms   0.0%	10.00 ms	                         pthread_getspecific
10.00 ms   0.0%	0 s	                       DYLD-STUB$$pthread_getspecific
10.00 ms   0.0%	0 s	                        completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.00 ms   0.0%	10.00 ms	                         DYLD-STUB$$pthread_getspecific
50.00 ms   0.0%	50.00 ms	                      Array.subscript.read
30.00 ms   0.0%	0 s	                      malloc
30.00 ms   0.0%	30.00 ms	                       malloc
25.00 ms   0.0%	0 s	                      _swift_isClassOrObjCExistentialType
25.00 ms   0.0%	0 s	                       completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
25.00 ms   0.0%	25.00 ms	                        _swift_isClassOrObjCExistentialType
15.00 ms   0.0%	0 s	                      swift_bridgeObjectRetain
15.00 ms   0.0%	0 s	                       completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
15.00 ms   0.0%	15.00 ms	                        swift_bridgeObjectRetain
5.00 ms   0.0%	0 s	                      Array._checkSubscript(_:wasNativeTypeChecked:)
5.00 ms   0.0%	5.00 ms	                       Array._checkSubscript(_:wasNativeTypeChecked:)
145.16 ms   0.0%	0 s	                     _malloc_zone_malloc_instrumented_or_legacy
90.01 ms   0.0%	90.00 ms	                      _malloc_zone_malloc_instrumented_or_legacy
13.29 µs   0.0%	0 s	                       0xfffffe000885befc (kernel.release.t6031 +0x184ff07) <4884B2A4-D648-3989-A74C-9F242960BE5B>
13.29 µs   0.0%	0 s	                        0xfffffe000889fc60 (kernel.release.t6031 +0x1893d7f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
13.29 µs   0.0%	0 s	                         0xfffffe00088e3228 (kernel.release.t6031 +0x18d7319) <4884B2A4-D648-3989-A74C-9F242960BE5B>
13.29 µs   0.0%	13.29 µs	                          0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8931) <4884B2A4-D648-3989-A74C-9F242960BE5B>
30.00 ms   0.0%	0 s	                      malloc
30.00 ms   0.0%	30.00 ms	                       malloc
20.00 ms   0.0%	0 s	                      pthread_getspecific
20.00 ms   0.0%	0 s	                       completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
20.00 ms   0.0%	20.00 ms	                        pthread_getspecific
5.15 ms   0.0%	0 s	                      je_malloc_default
5.00 ms   0.0%	5.00 ms	                       je_malloc_default
147.08 µs   0.0%	0 s	                       je_te_event_trigger
147.08 µs   0.0%	0 s	                        tcache_event
96.50 µs   0.0%	0 s	                         je_tcache_bin_flush_small
96.50 µs   0.0%	96.50 µs	                          je_tcache_bin_flush_small
50.58 µs   0.0%	0 s	                         os_unfair_lock_trylock
50.58 µs   0.0%	0 s	                          completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
50.58 µs   0.0%	50.58 µs	                           os_unfair_lock_trylock
45.00 ms   0.0%	0 s	                     malloc
45.00 ms   0.0%	45.00 ms	                      malloc
35.00 ms   0.0%	0 s	                     _malloc_zone_malloc
35.00 ms   0.0%	0 s	                      completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
35.00 ms   0.0%	35.00 ms	                       _malloc_zone_malloc
20.00 ms   0.0%	0 s	                     DYLD-STUB$$malloc
20.00 ms   0.0%	0 s	                      completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
20.00 ms   0.0%	20.00 ms	                       DYLD-STUB$$malloc
20.00 ms   0.0%	20.00 ms	                     protocol witness for Collection.subscript.read in conformance [A]
15.00 ms   0.0%	0 s	                     initializeBufferWithCopyOfBuffer for Character
15.00 ms   0.0%	15.00 ms	                      initializeBufferWithCopyOfBuffer for Character
15.00 ms   0.0%	0 s	                     Array._checkSubscript(_:wasNativeTypeChecked:)
10.00 ms   0.0%	0 s	                      completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.00 ms   0.0%	10.00 ms	                       Array._checkSubscript(_:wasNativeTypeChecked:)
5.00 ms   0.0%	5.00 ms	                      Array._checkSubscript(_:wasNativeTypeChecked:)
15.00 ms   0.0%	0 s	                     _swift_isClassOrObjCExistentialType
15.00 ms   0.0%	0 s	                      completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
15.00 ms   0.0%	15.00 ms	                       _swift_isClassOrObjCExistentialType
10.00 ms   0.0%	0 s	                     zone_malloc
10.00 ms   0.0%	0 s	                      completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.00 ms   0.0%	10.00 ms	                       zone_malloc
320.01 ms   0.0%	0 s	                    protocol witness for Collection.subscript.read in conformance _ArrayBuffer<A>
150.00 ms   0.0%	0 s	                     find_zone_and_free
105.00 ms   0.0%	105.00 ms	                      find_zone_and_free
20.00 ms   0.0%	0 s	                      zone_size
20.00 ms   0.0%	20.00 ms	                       zone_size
15.00 ms   0.0%	0 s	                      pthread_getspecific
15.00 ms   0.0%	0 s	                       completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
