Weight	Self Weight	Symbol Names
24.05 s  100.0%	0 s	  completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
20.60 s  85.6%	0 s	   partial apply for closure #1 in closure #1 in closure #1 in WorkerPool.work()
16.23 s   0.0%	0 s	    closure #1 in closure #1 in closure #1 in WorkerPool.work()
16.16 s   0.0%	0 s	     partial apply for closure #1 in FuzzStateMachine.setupWorkerPool(coordinator:)
5.29 s   0.0%	0 s	      closure #1 in FuzzStateMachine.setupWorkerPool(coordinator:)
5.23 s   0.0%	0 s	       partial apply for closure #1 in static FuzzStateMachine.captureIssues(sourceLocation:test:)
2.62 s   0.0%	0 s	        closure #1 in static FuzzStateMachine.captureIssues(sourceLocation:test:)
1.28 s   0.0%	0 s	         withKnownIssue(_:isIntermittent:isolation:sourceLocation:_:when:matching:)
1.08 s   0.0%	0 s	          TaskLocal.withValue<A>(_:operation:isolation:file:line:)
729.58 ms   0.0%	0 s	           TaskLocal.withValueImpl<A>(_:operation:isolation:file:line:)
668.81 ms   0.0%	0 s	            <deduplicated_symbol>
591.60 ms   0.0%	0 s	             closure #1 in withKnownIssue(_:isIntermittent:isolation:sourceLocation:_:when:matching:)
491.00 ms   0.0%	0 s	              partial apply for closure #1 in closure #1 in static FuzzStateMachine.captureIssues(sourceLocation:test:)
297.71 ms   0.0%	0 s	               closure #1 in closure #1 in static FuzzStateMachine.captureIssues(sourceLocation:test:)
181.82 ms   0.0%	0 s	                closure #1 in closure #1 in closure #1 in variable initialization expression of benchmarks
134.46 ms   0.0%	0 s	                 __sanitizer_cov_trace_pc_guard
46.65 ms   0.0%	0 s	                  get_current_coverage_map
31.03 ms   0.0%	31.03 ms	                   get_current_coverage_map
15.62 ms   0.0%	0 s	                   get_current_task_for_measurement
15.62 ms   0.0%	0 s	                    get_current_coverage_map
15.62 ms   0.0%	15.62 ms	                     get_current_task_for_measurement
40.00 ms   0.0%	0 s	                  _tlv_get_addr
40.00 ms   0.0%	0 s	                   completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
40.00 ms   0.0%	40.00 ms	                    _tlv_get_addr
23.76 ms   0.0%	0 s	                  swift_task_getCurrent
23.76 ms   0.0%	0 s	                   completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
23.76 ms   0.0%	23.76 ms	                    swift_task_getCurrent
